date,independent_bank,independent_bubble,independent_contraction,independent_credit,independent_crisis,independent_depression,independent_derivative,independent_employment,independent_growth,independent_housing,independent_inflation,independent_interest,independent_job,independent_lehman,independent_mortgage,independent_recession,independent_recovery,independent_reform,independent_swap,independent_asset,independent_bankrup,independent_captital,independent_collapse,independent_collateral,independent_debt,independent_downgrade,independent_gdp,independent_house,independent_layoff,independent_loan,independent_property,independent_quantitative,independent_rate,independent_rating,dailymail_bank,dailymail_bubble,dailymail_contraction,dailymail_credit,dailymail_crisis,dailymail_depression,dailymail_derivative,dailymail_employment,dailymail_growth,dailymail_housing,dailymail_inflation,dailymail_interest,dailymail_job,dailymail_lehman,dailymail_mortgage,dailymail_recession,dailymail_recovery,dailymail_reform,dailymail_swap,dailymail_asset,dailymail_bankrup,dailymail_captital,dailymail_collapse,dailymail_collateral,dailymail_debt,dailymail_downgrade,dailymail_gdp,dailymail_house,dailymail_layoff,dailymail_loan,dailymail_property,dailymail_quantitative,dailymail_rate,dailymail_rating,financialtimes_bank,financialtimes_bubble,financialtimes_contraction,financialtimes_credit,financialtimes_crisis,financialtimes_depression,financialtimes_derivative,financialtimes_employment,financialtimes_growth,financialtimes_housing,financialtimes_inflation,financialtimes_interest,financialtimes_job,financialtimes_lehman,financialtimes_mortgage,financialtimes_recession,financialtimes_recovery,financialtimes_reform,financialtimes_swap,financialtimes_asset,financialtimes_bankrup,financialtimes_captital,financialtimes_collapse,financialtimes_collateral,financialtimes_debt,financialtimes_downgrade,financialtimes_gdp,financialtimes_house,financialtimes_layoff,financialtimes_loan,financialtimes_property,financialtimes_quantitative,financialtimes_rate,financialtimes_rating,guardian_bank,guardian_bubble,guardian_contraction,guardian_credit,guardian_crisis,guardian_depression,guardian_derivative,guardian_employment,guardian_growth,guardian_housing,guardian_inflation,guardian_interest,guardian_job,guardian_lehman,guardian_mortgage,guardian_recession,guardian_recovery,guardian_reform,guardian_swap,guardian_asset,guardian_bankrup,guardian_captital,guardian_collapse,guardian_collateral,guardian_debt,guardian_downgrade,guardian_gdp,guardian_house,guardian_layoff,guardian_loan,guardian_property,guardian_quantitative,guardian_rate,guardian_rating
"2005-01-17",3,0,0,0,1,0,0,1,2,2,16,1,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,4,0,20,0,5,0,0,0,0,0,0,0,1,3,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,3,0,8,0,21,0,0,19,3,0,3,10,37,12,12,19,7,1,2,2,5,22,3,17,0,9,1,1,43,3,2,3,0,7,5,0,63,7,2,0,0,1,0,0,0,8,4,2,0,5,41,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0
"2005-01-18",4,0,0,0,1,0,0,1,2,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,5,0,11,0,0,19,3,0,0,0,0,2,0,6,2,0,6,0,0,0,0,1,2,2,0,0,22,0,0,14,0,5,9,0,7,0,53,0,0,18,2,0,0,9,63,12,4,22,15,3,7,1,4,23,2,11,0,12,2,2,18,4,3,22,0,1,10,0,76,19,0,0,0,0,0,0,0,1,3,1,0,2,1,0,0,0,2,5,0,0,0,0,0,0,2,0,0,5,0,0,5,0,5,0
"2005-01-19",5,0,0,0,0,0,0,1,2,2,14,8,1,0,7,2,0,0,0,1,0,4,1,0,0,0,2,5,0,1,6,0,14,0,16,0,0,10,1,0,0,7,8,4,4,18,1,0,31,0,3,0,0,0,0,5,0,0,11,0,0,12,0,30,14,0,63,0,91,0,0,9,3,0,0,5,54,6,58,41,5,1,15,0,6,8,1,21,1,24,1,0,31,3,3,10,0,7,4,0,123,15,2,0,0,1,2,0,0,4,4,4,5,4,6,0,18,1,0,1,0,0,0,0,0,0,4,0,0,4,0,5,2,0,19,1
"2005-01-20",6,0,0,1,0,0,0,6,6,4,7,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,1,0,0,0,0,0,0,18,4,0,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,75,1,0,13,1,0,0,13,44,14,32,22,17,5,5,6,7,4,2,9,0,30,3,1,16,5,4,3,0,4,7,1,89,12,2,0,0,0,0,0,0,16,5,0,6,4,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,8,1
"2005-01-21",0,0,0,0,0,0,0,1,1,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,2,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,49,3,1,20,4,0,1,3,44,0,16,16,4,4,2,4,10,9,4,7,0,26,0,0,24,8,3,8,0,3,1,1,77,36,4,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0
"2005-01-24",11,0,0,0,0,0,0,0,5,3,14,34,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,5,0,1,12,0,37,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,1,0,38,1,0,19,5,0,2,20,30,16,4,13,21,0,1,1,4,6,3,18,6,7,3,0,12,5,6,17,0,6,13,0,54,16,16,1,0,1,2,0,0,2,8,5,8,9,4,0,4,0,2,1,1,1,0,4,0,0,4,0,3,10,0,1,3,0,22,0
"2005-01-25",10,0,0,0,0,0,0,0,7,21,2,6,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,20,0,1,3,0,8,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,2,0,62,0,0,14,7,0,1,4,15,19,11,19,7,8,1,1,2,13,0,11,0,17,3,0,28,6,2,20,0,19,5,0,68,26,12,0,0,0,0,0,2,0,1,4,0,7,2,0,1,0,0,7,0,1,0,0,1,0,0,0,0,11,0,0,0,0,12,0
"2005-01-26",7,0,0,0,1,0,0,3,12,0,3,6,14,0,3,0,0,1,0,3,0,4,0,0,4,0,0,2,0,2,16,0,12,2,14,0,0,0,0,0,0,0,4,3,5,9,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,41,0,62,3,0,19,5,4,1,5,104,2,22,29,16,8,2,8,10,22,0,13,0,30,3,0,13,6,24,19,0,3,13,1,121,31,4,2,0,2,0,0,0,0,2,19,1,3,2,0,4,0,1,0,0,3,0,2,0,0,1,0,1,8,0,0,12,0,5,1
"2005-01-27",11,0,0,1,0,0,0,0,14,3,1,3,2,0,6,5,0,1,0,2,0,1,1,0,1,0,2,6,0,2,4,0,13,1,4,0,0,0,0,0,0,2,3,4,0,4,6,0,6,1,1,1,0,0,0,0,0,0,3,0,1,3,0,2,2,0,15,0,73,4,0,20,1,2,0,16,69,8,14,29,14,0,23,3,8,10,4,10,0,25,4,0,22,0,3,16,0,10,15,0,98,18,5,0,0,5,1,0,0,3,6,3,0,9,0,0,5,2,0,1,0,0,0,2,0,0,3,0,1,6,0,2,4,0,13,1
"2005-01-28",8,0,0,0,2,0,0,0,3,1,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,5,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,55,0,2,10,0,0,0,4,48,12,27,33,6,3,7,4,4,7,0,12,1,21,1,1,44,7,3,35,0,5,7,1,118,29,3,0,0,0,0,0,0,0,1,2,5,1,3,0,1,2,1,0,0,0,0,1,0,0,1,0,0,7,0,0,3,0,6,0
